Interface,Nom,Signification,Format,Obligatoire,Calculée
Article,article_id,Unique identifier of the article,Entier,Oui,Non
Article,article_name,Name of the article,Texte,Oui,Non
Article,description,Description of the article,Texte long,Oui,Non
Article,content,Content of the article,Texte long,Oui,Non
Article,image,Cover image of the article,Image path,Non,Non
Article,category_id,Category of the article,Entier,Oui,Non
Article,author_id,Author of the article,Entier,Oui,Non
Article,date_publication,Publication date of the article,JJ/MM/AAAA,Oui,Non
Article,status,Status of the article,Draft/Published,Oui,Non
Authors,author_id,Unique identifier of the author,Entier,Oui,Non
Authors,name,Full name of the author,Texte,Oui,Non
Authors,email,Email address of the author,Email,Oui,Non
Authors,password,Password of the author,Texte,Oui,Non
Authors,image_auteur,Profile picture of the author,Image path,Non,Non
Categories,category_id,Unique identifier of the category,Entier,Oui,Non
Categories,category_name,Name of the category,Texte,Oui,Non
Categories,color,Color of the category,Hexadecimal,Oui,Non
Categories,icon,Icon of the category,Texte,Oui,Non
